id,quarter,value,log_value
HK,2020Q4,515825.142,13.153523114940555
HK,2021Q1,513132.618,13.148289605363644
HK,2021Q2,523222.662,13.167762392407276
HK,2021Q3,537195.383,13.194117149029879
HK,2021Q4,534898.91,13.189833054753198
HK,2022Q1,541676.451,13.20242414829934
HK,2022Q2,544407.648,13.207453598154524
HK,2022Q3,554843.053,13.226440565349291
HK,2022Q4,553206.418,13.223486480296186
HK,2023Q1,537226.745,13.19417552831897
HK,2023Q2,569547.218,13.252596969758144
HK,2023Q3,589568.597,13.287146356905575
HK,2023Q4,570663.755,13.254555444783072
HK,2024Q1,612277.729,13.32494126411142
HK,2024Q2,597195.097,13.299999134633564
HK,2024Q3,607751.384,13.317521169427936
HK,2024Q4,596815.337,13.299363026268024
HK,2025Q1,610690.157,13.322345001511335
IE,2016Q1,327505.93,12.699261440763745
IE,2016Q2,311258.594,12.648379337624851
IE,2016Q3,305244.966,12.628869900436476
IE,2016Q4,285765.589,12.56292713484967
IE,2017Q1,284195.077,12.557416172186871
IE,2017Q2,292605.189,12.58657950151891
IE,2017Q3,302782.797,12.620770985853568
IE,2017Q4,291589.891,12.583103611163176
IE,2018Q1,302603.141,12.620177460322177
IE,2018Q2,288419.606,12.572171664051748
IE,2018Q3,283513.327,12.555014409863405
IE,2018Q4,337206.952,12.728452121741915
IE,2019Q1,371514.478,12.825343114116777
IE,2019Q2,384537.604,12.859796862885675
IE,2019Q3,400905.331,12.90148059612263
IE,2019Q4,407333.923,12.917388577671362
IE,2020Q1,448358.513,13.013348443598174
IE,2020Q2,438209.814,12.990453102058847
IE,2020Q3,448483.482,13.01362713037133
IE,2020Q4,517358.497,13.1564913309825
IE,2021Q1,495202.4,13.112721846867435
IE,2021Q2,496551.122,13.115441721920131
IE,2021Q3,490327.392,13.102828593914793
IE,2021Q4,447124.392,13.01059211676168
IE,2022Q1,477805.876,13.076959811830875
IE,2022Q2,446610.621,13.009442400013157
IE,2022Q3,496682.426,13.115706118951483
IE,2022Q4,499528.803,13.121420539071924
IE,2023Q1,523193.441,13.167706542731562
IE,2023Q2,536900.423,13.193567924266562
IE,2023Q3,537651.639,13.19496611826562
IE,2023Q4,521471.275,13.164409470410238
IE,2024Q1,519837.098,13.161270768400426
IE,2024Q2,524916.262,13.17099402789975
IE,2024Q3,568501.882,13.250759902633387
IE,2024Q4,556407.078,13.229255460014496
IE,2025Q1,604471.945,13.312110537703585
LU,2016Q1,-54.79,
LU,2016Q2,-66.01,
LU,2016Q3,2250.63,7.718965456005781
LU,2016Q4,2999.23,8.006110868039054
LU,2017Q1,5846.98,8.67368056761227
LU,2017Q2,152.13,5.0247354184750375
LU,2017Q3,251.97,5.529310032805645
LU,2017Q4,-97.39,
LU,2018Q1,-99.73,
LU,2018Q2,-56.11,
LU,2018Q3,-99.88,
LU,2018Q4,-85.08,
LU,2019Q1,-2.26,
LU,2019Q2,-88.84,
LU,2019Q3,-63.03,
LU,2019Q4,19.24,2.9569914452375605
LU,2020Q1,-35.98,
LU,2020Q2,-81.78,
LU,2020Q3,19881.76,9.897558007479033
LU,2020Q4,8062.46,8.99497399985141
LU,2021Q1,249.4,5.519058033245936
LU,2021Q2,1260.13,7.138970169226565
LU,2021Q3,-54.09,
LU,2021Q4,-93.01,
LU,2022Q1,719.45,6.578487031209427
LU,2022Q2,55.39,4.014399072045013
LU,2022Q3,-91.79,
LU,2022Q4,2721.74,7.909026660647807
LU,2023Q1,-93.09,
LU,2023Q2,-62.94,
LU,2023Q3,-66.31,
LU,2023Q4,-97.98,
LU,2024Q1,-19.59,
LU,2024Q2,-9.54,
LU,2024Q3,1061934.11,13.875602435544755
LU,2024Q4,189044.62,12.149738350834268
LU,2025Q1,913866.95,13.725440270912312
NL,2016Q1,1196083.358,13.994562908388383
NL,2016Q2,1220392.9,14.014683414043061
NL,2016Q3,1165532.051,13.968688236865336
NL,2016Q4,1046032.995,13.86051546708656
NL,2017Q1,1078016.33,13.89063317875935
NL,2017Q2,1117442.494,13.926553144637944
NL,2017Q3,1104452.506,13.914860300465069
NL,2017Q4,1092293.687,13.90379034326719
NL,2018Q1,1099280.861,13.910166761245288
NL,2018Q2,1079530.83,13.892037088047479
NL,2018Q3,1068466.002,13.881734534798062
NL,2018Q4,1019794.25,13.835111449226835
NL,2019Q1,1061931.402,13.87559988547745
NL,2019Q2,1125479.724,13.933719924062252
NL,2019Q3,1149465.828,13.954807895035797
NL,2019Q4,1123560.573,13.93201328370692
NL,2020Q1,1217477.869,14.01229195636094
NL,2020Q2,1224700.666,14.018207017815877
NL,2020Q3,1247009.765,14.036259055425418
NL,2020Q4,1233217.108,14.025136847749025
NL,2021Q1,1280353.918,14.062647096114652
NL,2021Q2,1248415.345,14.037385581036638
NL,2021Q3,1264570.535,14.050243124477541
NL,2021Q4,1209560.497,14.005767625970686
NL,2022Q1,1253063.143,14.041101626064204
NL,2022Q2,1316458.807,14.090455967645449
NL,2022Q3,1315551.563,14.089766575197553
NL,2022Q4,1432480.453,14.174918082102714
NL,2023Q1,1426248.842,14.170558368238725
NL,2023Q2,1466735.648,14.198549841841649
NL,2023Q3,1461944.962,14.19527827289241
NL,2023Q4,1411454.473,14.160131271816143
NL,2024Q1,1420996.672,14.166869065063828
NL,2024Q2,1421113.707,14.166951422878592
NL,2024Q3,1497661.731,14.21941560380787
NL,2024Q4,1377375.316,14.135690301211959
NL,2025Q1,1376066.681,14.134739756330347
SA,2017Q4,31179.462,10.347514887812487
SA,2018Q1,22794.763,10.034286095576602
SA,2018Q2,28319.781,10.251315814726908
SA,2018Q3,25656.04,10.152534300461268
SA,2018Q4,29429.348,10.289747686717753
SA,2019Q1,33407.7,10.416541691316933
SA,2019Q2,35865.867,10.48754134225413
SA,2019Q3,43766.332,10.686620124982728
SA,2019Q4,44958.677,10.713499057978032
SA,2020Q1,48758.339,10.79463151820777
SA,2020Q2,46053.196,10.737552442098208
SA,2020Q3,42678.903,10.661460002180021
SA,2020Q4,46332.0,10.743588146052236
SA,2021Q1,45573.335,10.727078065692456
SA,2021Q2,48486.175,10.789033984744268
SA,2021Q3,49440.134,10.808517802483886
SA,2021Q4,60084.975,11.00351508926809
SA,2022Q1,56373.546,10.939755284898093
SA,2022Q2,66425.828,11.103841235736624
SA,2022Q3,59661.991,10.99645042995574
SA,2022Q4,53710.242,10.891358988568
SA,2023Q1,54039.307,10.897466968157712
SA,2023Q2,63761.409,11.062903411714283
SA,2023Q3,76129.409,11.240189921233215
SA,2023Q4,73491.851,11.204929808306012
SA,2024Q1,81507.083,11.308445203428136
SA,2024Q2,89723.775,11.404491063094522
SA,2024Q3,101917.741,11.531921306117654
SA,2024Q4,109507.65,11.603749688812085
SA,2025Q1,129825.826,11.773949031103218
SA,2025Q2,141423.743,11.859515932068621
SG,2015Q1,232894.593,12.358341239630416
SG,2015Q2,233340.799,12.360255320559865
SG,2015Q3,238097.799,12.380436788417109
SG,2015Q4,230795.296,12.349286432125885
SG,2016Q1,236112.099,12.372061966995682
SG,2016Q2,239302.898,12.385485384144907
SG,2016Q3,237606.497,12.378371210372872
SG,2016Q4,220648.598,12.30432666072328
SG,2017Q1,228013.097,12.337158349269249
SG,2017Q2,231024.408,12.35027864625972
SG,2017Q3,247762.897,12.420227507345919
SG,2017Q4,254495.797,12.44703960010157
SG,2018Q1,246592.695,12.41549324640257
SG,2018Q2,250300.585,12.4304178146125
SG,2018Q3,245164.798,12.40968590830064
SG,2018Q4,246369.796,12.414588921958986
SG,2019Q1,248631.998,12.4237291625676
SG,2019Q2,256217.596,12.453782346804548
SG,2019Q3,262017.904,12.476168116286306
SG,2019Q4,272648.893,12.515940140195589
SG,2020Q1,283189.588,12.55387187458911
SG,2020Q2,281977.793,12.549583598592497
SG,2020Q3,287099.592,12.567584445000518
SG,2020Q4,300317.391,12.612595164382494
SG,2021Q1,301104.286,12.615211948842113
SG,2021Q2,313316.784,12.654970047161932
SG,2021Q3,311364.103,12.6487182555651
SG,2021Q4,309924.384,12.644083624126733
SG,2022Q1,307381.122,12.635843696359599
SG,2022Q2,300878.867,12.614463027516283
SG,2022Q3,295885.535,12.597727952435038
SG,2022Q4,302622.783,12.620242368315136
SG,2023Q1,303564.27,12.62334862983083
SG,2023Q2,301923.352,12.617928462819497
SG,2023Q3,299895.237,12.611188482650327
SG,2023Q4,303662.449,12.62367199834471
SG,2024Q1,300857.834,12.61439311986407
SG,2024Q2,299402.069,12.60954266143143
SG,2024Q3,304641.493,12.626890931439725
SG,2024Q4,298395.039,12.60617352183842
SG,2025Q1,301487.035,12.616482292566404
