id,quarter,value,log_value,gdp_growth
CH,2019 Q3,451856.9395,13.021120903184947,1.14198218965691
CH,2019 Q4,461050.575,13.041263023119747,1.14198218965691
CH,2020 Q2,499187.78,13.120737616571068,-2.14173712008038
CH,2020 Q3,504946.64300000004,13.132208045249616,-2.14173712008038
CH,2020 Q4,528961.502,13.178670933144945,-2.14173712008038
CH,2021 Q2,533519.406,13.187250723945244,5.55962020605844
CH,2021 Q3,531913.884,13.184236883040615,5.55962020605844
CH,2021 Q4,553191.652,13.223459788275655,5.55962020605844
CH,2022 Q2,548425.46,13.214806651559092,3.04406102969423
CH,2022 Q3,547087.306,13.21236367744313,3.04406102969423
CH,2022 Q4,506834.925,13.135940637840854,3.04406102969423
CH,2023 Q2,479194.892,13.079862666294177,0.683328174376044
CH,2023 Q3,478220.1585,13.077826488073951,0.683328174376044
CH,2023 Q4,504169.252,13.13066730813976,0.683328174376044
CH,2024 Q2,491673.273,13.105569695607846,1.30233332541106
CH,2024 Q3,505768.7405,13.133834809212484,1.30233332541106
CH,2024 Q4,504237.377,13.130802422285472,1.30233332541106
ES,2016 Q2,425688.699,12.961463604599881,2.91515598595787
ES,2016 Q3,424659.7815,12.959043613206381,2.91515598595787
ES,2016 Q4,399042.922,12.896824264021177,2.91515598595787
ES,2017 Q2,551739.872,13.22083196781095,2.89604207865007
ES,2017 Q3,549143.943,13.216115877382377,2.89604207865007
ES,2017 Q4,579406.956,13.269760369768276,2.89604207865007
ES,2018 Q2,596735.993,13.299230071784839,2.39541124478878
ES,2018 Q3,608226.7705,13.31830306920543,2.39541124478878
ES,2018 Q4,603858.936,13.311095899971107,2.39541124478878
ES,2019 Q2,679054.634,13.428456865748675,1.96117850841711
ES,2019 Q3,653844.2930000001,13.390624517994958,1.96117850841711
ES,2019 Q4,681178.403,13.431579522922805,1.96117850841711
ES,2020 Q2,780713.343,13.567963323034446,-10.9400706350371
ES,2020 Q3,766101.1025,13.549069427611043,-10.9400706350371
ES,2020 Q4,765619.431,13.548440498892857,-10.9400706350371
ES,2021 Q2,750393.553,13.528353085219335,6.68314420473001
ES,2021 Q3,739378.0460000001,13.513564633401991,6.68314420473001
ES,2021 Q4,743506.233,13.519132428169332,6.68314420473001
ES,2022 Q2,760007.28,13.541083291164005,6.17931219966114
ES,2022 Q3,767997.898,13.551542275146897,6.17931219966114
ES,2022 Q4,804752.024,13.598289464224683,6.17931219966114
ES,2023 Q2,863651.704,13.668924846140962,2.6756634629066
ES,2023 Q3,835327.9285,13.635579655477759,2.6756634629066
ES,2023 Q4,907799.563,13.718778887620822,2.6756634629066
ES,2024 Q2,936904.272,13.750336391647103,3.15019564517223
ES,2024 Q3,973293.9865,13.788441459930482,3.15019564517223
ES,2024 Q4,975415.838,13.790619159567314,3.15019564517223
ES,2025 Q2,1145594.705,13.951434453145714,NA
FI,2016 Q2,404129.993,12.909491870039565,2.57193414898754
FI,2016 Q3,408967.6,12.921391214283148,2.57193414898754
FI,2016 Q4,325269.842,12.692410399894476,2.57193414898754
FI,2017 Q2,243681.615,12.403617795651346,3.30337003591039
FI,2017 Q3,258814.4375,12.463866626374367,3.30337003591039
FI,2017 Q4,247918.281,12.420854458749305,3.30337003591039
FI,2018 Q2,262996.372,12.479895516387948,1.19297759742292
FI,2018 Q3,275127.071,12.524988346287937,1.19297759742292
FI,2018 Q4,386460.773,12.864785648973998,1.19297759742292
FI,2019 Q2,443194.079,13.001763054668931,1.34973845741737
