id,quarter,value,log_value,index
HK,2016 Q4,432805.954,12.978044763351392,91.2790829205344
HK,2017 Q2,456379.108,13.031079120286913,96.25067783224516
HK,2017 Q3,453198.978,13.024086553058424,95.57998615786934
HK,2019 Q4,474156.773,13.069293290718973,100
HK,2020 Q3,509231.496,13.140657997640968,107.39728397805678
HK,2020 Q4,515825.142,13.153523114940555,108.78788859987455
HK,2021 Q2,523222.662,13.167762392407276,110.3480308189123
HK,2021 Q3,525164.0005000001,13.171465874697454,110.75746048659735
HK,2021 Q4,534898.91,13.189833054753198,112.81055981035202
HK,2022 Q2,544407.648,13.207453598154524,114.81595940421167
HK,2022 Q3,548259.752,13.214504453627638,115.62837087217986
HK,2022 Q4,553206.418,13.223486480296186,116.67162624290933
HK,2023 Q2,569547.218,13.252596969758144,120.11791256222338
HK,2023 Q3,563397.671,13.241741000585549,118.82096873474376
HK,2023 Q4,570663.755,13.254555444783072,120.35339100808332
HK,2024 Q2,597195.097,13.299999134633564,125.94886986882712
HK,2024 Q3,610014.5565,13.321238098979528,128.6525029771113
HK,2024 Q4,596815.337,13.299363026268024,125.86877821525921
IE,2016 Q3,305244.966,12.628869900436476,74.93728088048292
IE,2016 Q4,285765.589,12.56292713484967,70.15511669034252
IE,2017 Q2,292605.189,12.58657950151891,71.83423046255837
IE,2017 Q3,302782.797,12.620770985853568,74.33282128088311
IE,2019 Q4,407333.923,12.917388577671362,100.00000000000001
IE,2020 Q3,448483.482,13.01362713037133,110.1021684363863
IE,2020 Q4,517358.497,13.1564913309825,127.0109037788144
IE,2021 Q2,496551.122,13.115441721920131,121.90271763837355
IE,2021 Q3,490327.392,13.102828593914793,120.37479922829802
IE,2021 Q4,447124.392,13.01059211676168,109.76851343657916
IE,2022 Q1,477805.876,13.076959811830875,117.300781747068
IE,2022 Q2,446610.621,13.009442400013157,109.64238325910313
IE,2022 Q3,496682.426,13.115706118951483,121.93495261625925
IE,2022 Q4,499528.803,13.121420539071924,122.63373482890597
IE,2023 Q1,523193.441,13.167706542731562,128.44337568221638
IE,2023 Q2,536900.423,13.193567924266562,131.8084236750397
IE,2023 Q3,537651.639,13.19496611826562,131.99284632132148
IE,2023 Q4,521471.275,13.164409470410238,128.02058595055928
IE,2024 Q1,519837.098,13.161270768400426,127.61939741512762
IE,2024 Q2,524916.262,13.17099402789975,128.86632621560466
IE,2024 Q3,568501.882,13.250759902633387,139.56654476823428
